,win,lose,probability,WTeam,LTeam,WLoc,Correct,Incorrect
753,Cleveland Cavaliers,Oklahoma City Thunder,0.6174314654434763,Cleveland Cavaliers,Oklahoma City Thunder,H,1,0
754,Phoenix Suns,Indiana Pacers,0.7733926321664948,Phoenix Suns,Indiana Pacers,H,1,0
755,Los Angeles Clippers,New York Knicks,0.6109467843516097,New York Knicks,Los Angeles Clippers,H,0,1
756,Boston Celtics,Washington Wizards,0.5644809509744557,Boston Celtics,Washington Wizards,V,1,0
757,Portland Trail Blazers,Toronto Raptors,0.6744007293936584,Portland Trail Blazers,Toronto Raptors,V,1,0
758,Chicago Bulls,Orlando Magic,0.6599839624948296,Orlando Magic,Chicago Bulls,H,0,1
759,Los Angeles Lakers,Miami Heat,0.57561734123011,Miami Heat,Los Angeles Lakers,H,0,1
760,Philadelphia 76ers,San Antonio Spurs,0.7951587813023575,Philadelphia 76ers,San Antonio Spurs,V,1,0
761,Atlanta Hawks,Charlotte Hornets,0.7412043223412852,Atlanta Hawks,Charlotte Hornets,V,1,0
762,Dallas Mavericks,Memphis Grizzlies,0.5394457553928004,Dallas Mavericks,Memphis Grizzlies,H,1,0
763,Brooklyn Nets,Minnesota Timberwolves,0.8423794071657661,Minnesota Timberwolves,Brooklyn Nets,H,0,1
764,Denver Nuggets,Detroit Pistons,0.8666419183250929,Denver Nuggets,Detroit Pistons,H,1,0
765,Utah Jazz,Golden State Warriors,0.7795128130699629,Golden State Warriors,Utah Jazz,H,0,1
766,New York Knicks,Cleveland Cavaliers,0.7943719541454481,Cleveland Cavaliers,New York Knicks,H,0,1
767,Chicago Bulls,Oklahoma City Thunder,0.6431805173188448,Chicago Bulls,Oklahoma City Thunder,V,1,0
768,New Orleans Pelicans,Indiana Pacers,0.5540788392967603,New Orleans Pelicans,Indiana Pacers,H,1,0
769,Utah Jazz,Phoenix Suns,0.635717500958536,Phoenix Suns,Utah Jazz,H,0,1
770,Los Angeles Clippers,Washington Wizards,0.6982968346723485,Los Angeles Clippers,Washington Wizards,V,1,0
771,Toronto Raptors,Charlotte Hornets,0.5117038347112168,Toronto Raptors,Charlotte Hornets,H,1,0
772,Philadelphia 76ers,New Orleans Pelicans,0.6829254294450181,Philadelphia 76ers,New Orleans Pelicans,H,1,0
773,Denver Nuggets,Detroit Pistons,0.8449583187058886,Denver Nuggets,Detroit Pistons,V,1,0
774,Brooklyn Nets,Los Angeles Lakers,0.5226929731991731,Los Angeles Lakers,Brooklyn Nets,V,0,1
775,Boston Celtics,Sacramento Kings,0.6632143942491963,Boston Celtics,Sacramento Kings,H,1,0
776,San Antonio Spurs,Houston Rockets,0.6838049319014868,San Antonio Spurs,Houston Rockets,V,1,0
777,Portland Trail Blazers,Minnesota Timberwolves,0.8267322957462816,Minnesota Timberwolves,Portland Trail Blazers,V,0,1
778,Dallas Mavericks,Golden State Warriors,0.6795673152704916,Golden State Warriors,Dallas Mavericks,H,0,1
779,Los Angeles Clippers,Orlando Magic,0.8615339394403768,Los Angeles Clippers,Orlando Magic,V,1,0
780,Indiana Pacers,Charlotte Hornets,0.5326334120546283,Charlotte Hornets,Indiana Pacers,V,0,1
781,Milwaukee Bucks,Cleveland Cavaliers,0.8745913084128406,Cleveland Cavaliers,Milwaukee Bucks,H,0,1
782,New York Knicks,Miami Heat,0.5422196851106571,Miami Heat,New York Knicks,H,0,1
783,Atlanta Hawks,Sacramento Kings,0.709707390477428,Atlanta Hawks,Sacramento Kings,H,1,0
784,Chicago Bulls,Toronto Raptors,0.5574712547956887,Chicago Bulls,Toronto Raptors,H,1,0
785,Denver Nuggets,Brooklyn Nets,0.5233787026419784,Denver Nuggets,Brooklyn Nets,V,1,0
786,Memphis Grizzlies,San Antonio Spurs,0.6707693160206225,Memphis Grizzlies,San Antonio Spurs,V,1,0
787,Phoenix Suns,Utah Jazz,0.6253350463495576,Phoenix Suns,Utah Jazz,V,1,0
788,Dallas Mavericks,Portland Trail Blazers,0.6030200527095354,Dallas Mavericks,Portland Trail Blazers,V,1,0
789,Philadelphia 76ers,Los Angeles Lakers,0.5184822621274572,Philadelphia 76ers,Los Angeles Lakers,H,1,0
790,Golden State Warriors,Minnesota Timberwolves,0.7736301455312972,Golden State Warriors,Minnesota Timberwolves,H,1,0
791,Orlando Magic,Detroit Pistons,0.5693680523428608,Orlando Magic,Detroit Pistons,H,1,0
792,Los Angeles Lakers,Charlotte Hornets,0.7357332359205935,Charlotte Hornets,Los Angeles Lakers,H,0,1
793,Atlanta Hawks,Boston Celtics,0.5561100950256899,Atlanta Hawks,Boston Celtics,H,1,0
794,Indiana Pacers,Oklahoma City Thunder,0.6215706944779277,Indiana Pacers,Oklahoma City Thunder,V,1,0
795,Denver Nuggets,New Orleans Pelicans,0.7347337018558712,Denver Nuggets,New Orleans Pelicans,V,1,0
796,Los Angeles Clippers,Miami Heat,0.625070793378861,Miami Heat,Los Angeles Clippers,H,0,1
797,Utah Jazz,Memphis Grizzlies,0.7486901804414131,Memphis Grizzlies,Utah Jazz,H,0,1
798,Portland Trail Blazers,Houston Rockets,0.8211505075281833,Portland Trail Blazers,Houston Rockets,V,1,0
799,Chicago Bulls,San Antonio Spurs,0.5020826688184751,San Antonio Spurs,Chicago Bulls,H,0,1
800,Phoenix Suns,Minnesota Timberwolves,0.8737939436508553,Phoenix Suns,Minnesota Timberwolves,H,1,0
801,Milwaukee Bucks,New York Knicks,0.5718973411781236,Milwaukee Bucks,New York Knicks,H,1,0
802,Boston Celtics,New Orleans Pelicans,0.613214413075277,Boston Celtics,New Orleans Pelicans,V,1,0
803,Dallas Mavericks,Indiana Pacers,0.7220037146253684,Dallas Mavericks,Indiana Pacers,H,1,0
804,Philadelphia 76ers,Sacramento Kings,0.7532550710236791,Philadelphia 76ers,Sacramento Kings,H,1,0
805,Miami Heat,Toronto Raptors,0.6825303871582935,Toronto Raptors,Miami Heat,V,0,1
806,Memphis Grizzlies,Washington Wizards,0.6062404890301867,Memphis Grizzlies,Washington Wizards,H,1,0
807,Brooklyn Nets,Golden State Warriors,0.6886417614533213,Golden State Warriors,Brooklyn Nets,H,0,1
808,Los Angeles Clippers,Charlotte Hornets,0.7738585942452153,Los Angeles Clippers,Charlotte Hornets,V,1,0
809,Los Angeles Lakers,Atlanta Hawks,0.5369631150865822,Atlanta Hawks,Los Angeles Lakers,H,0,1
810,Portland Trail Blazers,Chicago Bulls,0.6490567597347021,Chicago Bulls,Portland Trail Blazers,H,0,1
811,Detroit Pistons,Cleveland Cavaliers,0.522368778894317,Detroit Pistons,Cleveland Cavaliers,H,1,0
812,Dallas Mavericks,Orlando Magic,0.8633733083003197,Orlando Magic,Dallas Mavericks,H,0,1
813,Denver Nuggets,Milwaukee Bucks,0.5075860650819969,Denver Nuggets,Milwaukee Bucks,V,1,0
814,Phoenix Suns,San Antonio Spurs,0.7601179639887939,Phoenix Suns,San Antonio Spurs,H,1,0
815,Utah Jazz,Minnesota Timberwolves,0.8952092672059876,Minnesota Timberwolves,Utah Jazz,H,0,1
816,Philadelphia 76ers,Memphis Grizzlies,0.5815581856986021,Philadelphia 76ers,Memphis Grizzlies,H,1,0
817,Los Angeles Clippers,Indiana Pacers,0.7455490726306547,Indiana Pacers,Los Angeles Clippers,H,0,1
818,New Orleans Pelicans,Cleveland Cavaliers,0.6886300972419446,Cleveland Cavaliers,New Orleans Pelicans,H,0,1
819,New York Knicks,Sacramento Kings,0.68935646589412,New York Knicks,Sacramento Kings,H,1,0
820,Boston Celtics,Miami Heat,0.500404874805096,Boston Celtics,Miami Heat,H,1,0
821,Atlanta Hawks,Toronto Raptors,0.715471799014342,Toronto Raptors,Atlanta Hawks,V,0,1
822,Portland Trail Blazers,Oklahoma City Thunder,0.7897319494966597,Oklahoma City Thunder,Portland Trail Blazers,H,0,1
823,Golden State Warriors,Houston Rockets,0.7865936991680282,Golden State Warriors,Houston Rockets,V,1,0
824,New Orleans Pelicans,Detroit Pistons,0.6937882666169463,New Orleans Pelicans,Detroit Pistons,V,1,0
825,Miami Heat,Toronto Raptors,0.6425696361346073,Toronto Raptors,Miami Heat,H,0,1
826,Milwaukee Bucks,Washington Wizards,0.719982472116977,Milwaukee Bucks,Washington Wizards,H,1,0
827,Denver Nuggets,Minnesota Timberwolves,0.8315480138599776,Minnesota Timberwolves,Denver Nuggets,H,0,1
828,Chicago Bulls,Orlando Magic,0.6938323911307083,Chicago Bulls,Orlando Magic,H,1,0
829,Golden State Warriors,San Antonio Spurs,0.6278017836857732,Golden State Warriors,San Antonio Spurs,V,1,0
830,Brooklyn Nets,Phoenix Suns,0.5219289568323906,Phoenix Suns,Brooklyn Nets,H,0,1
831,Philadelphia 76ers,Washington Wizards,0.7035513099443289,Washington Wizards,Philadelphia 76ers,V,0,1
832,Indiana Pacers,Orlando Magic,0.6875589756527124,Orlando Magic,Indiana Pacers,V,0,1
833,New York Knicks,Memphis Grizzlies,0.5025591878330549,Memphis Grizzlies,New York Knicks,V,0,1
834,Boston Celtics,Charlotte Hornets,0.65361735659546,Boston Celtics,Charlotte Hornets,H,1,0
835,Cleveland Cavaliers,Houston Rockets,0.5369033353751533,Houston Rockets,Cleveland Cavaliers,H,0,1
836,Dallas Mavericks,Oklahoma City Thunder,0.8662927293447751,Oklahoma City Thunder,Dallas Mavericks,V,0,1
837,Denver Nuggets,Utah Jazz,0.5134738868923013,Utah Jazz,Denver Nuggets,H,0,1
838,Brooklyn Nets,Sacramento Kings,0.7538681222205798,Sacramento Kings,Brooklyn Nets,H,0,1
839,Los Angeles Lakers,Portland Trail Blazers,0.5317513349314504,Los Angeles Lakers,Portland Trail Blazers,H,1,0
840,Miami Heat,San Antonio Spurs,0.6458446366847962,Miami Heat,San Antonio Spurs,V,1,0
841,Detroit Pistons,Minnesota Timberwolves,0.5616118067332587,Minnesota Timberwolves,Detroit Pistons,V,0,1
842,Toronto Raptors,Chicago Bulls,0.5014894749503758,Toronto Raptors,Chicago Bulls,H,1,0
843,Phoenix Suns,Atlanta Hawks,0.6880217219283453,Atlanta Hawks,Phoenix Suns,H,0,1
844,Los Angeles Clippers,Los Angeles Lakers,0.5209578579574217,Los Angeles Clippers,Los Angeles Lakers,H,1,0
845,Golden State Warriors,Sacramento Kings,0.6253051309210282,Golden State Warriors,Sacramento Kings,H,1,0
846,Indiana Pacers,Chicago Bulls,0.5224482727593713,Chicago Bulls,Indiana Pacers,V,0,1
847,Boston Celtics,Detroit Pistons,0.7572504065901526,Boston Celtics,Detroit Pistons,V,1,0
848,Charlotte Hornets,Cleveland Cavaliers,0.640331284859244,Cleveland Cavaliers,Charlotte Hornets,V,0,1
849,Atlanta Hawks,Toronto Raptors,0.727290197488308,Toronto Raptors,Atlanta Hawks,H,0,1
850,San Antonio Spurs,Houston Rockets,0.7145950354260631,San Antonio Spurs,Houston Rockets,H,1,0
851,Brooklyn Nets,Utah Jazz,0.5332782307858207,Utah Jazz,Brooklyn Nets,H,0,1
852,Denver Nuggets,New Orleans Pelicans,0.6601205784196609,New Orleans Pelicans,Denver Nuggets,V,0,1
853,Portland Trail Blazers,Oklahoma City Thunder,0.854386764187528,Oklahoma City Thunder,Portland Trail Blazers,V,0,1
854,Philadelphia 76ers,Dallas Mavericks,0.619288290496109,Dallas Mavericks,Philadelphia 76ers,H,0,1
855,Memphis Grizzlies,Orlando Magic,0.7968235811675557,Memphis Grizzlies,Orlando Magic,V,1,0
856,Phoenix Suns,Washington Wizards,0.7817074902088477,Phoenix Suns,Washington Wizards,V,1,0
857,Miami Heat,Charlotte Hornets,0.658778327409606,Miami Heat,Charlotte Hornets,V,1,0
858,Los Angeles Lakers,New York Knicks,0.5095665528625386,Los Angeles Lakers,New York Knicks,H,1,0
859,Sacramento Kings,Oklahoma City Thunder,0.7521547702196352,Sacramento Kings,Oklahoma City Thunder,H,1,0
860,Milwaukee Bucks,Portland Trail Blazers,0.6573279269936237,Milwaukee Bucks,Portland Trail Blazers,V,1,0
861,Minnesota Timberwolves,Detroit Pistons,0.6198287522419441,Minnesota Timberwolves,Detroit Pistons,H,1,0
862,Brooklyn Nets,Denver Nuggets,0.572797249140345,Denver Nuggets,Brooklyn Nets,H,0,1
863,Philadelphia 76ers,Chicago Bulls,0.7736008790314042,Philadelphia 76ers,Chicago Bulls,V,1,0
864,Boston Celtics,Orlando Magic,0.7769979362503484,Boston Celtics,Orlando Magic,V,1,0
865,Atlanta Hawks,Dallas Mavericks,0.5313158979169958,Dallas Mavericks,Atlanta Hawks,H,0,1
866,Indiana Pacers,Cleveland Cavaliers,0.6071832014249815,Cleveland Cavaliers,Indiana Pacers,H,0,1
867,New Orleans Pelicans,Houston Rockets,0.7417927165782655,New Orleans Pelicans,Houston Rockets,V,1,0
868,Milwaukee Bucks,Los Angeles Clippers,0.5917705522163261,Milwaukee Bucks,Los Angeles Clippers,V,1,0
869,Miami Heat,Washington Wizards,0.5663137085837133,Miami Heat,Washington Wizards,V,1,0
870,Charlotte Hornets,Toronto Raptors,0.5115789196642186,Toronto Raptors,Charlotte Hornets,V,0,1
871,Golden State Warriors,Oklahoma City Thunder,0.7509457436987821,Golden State Warriors,Oklahoma City Thunder,V,1,0
872,Phoenix Suns,Chicago Bulls,0.8148882271147357,Phoenix Suns,Chicago Bulls,V,1,0
873,Utah Jazz,New York Knicks,0.5661191147499554,Utah Jazz,New York Knicks,H,1,0
874,Phoenix Suns,Philadelphia 76ers,0.6384865606053968,Phoenix Suns,Philadelphia 76ers,V,1,0
875,Brooklyn Nets,Boston Celtics,0.6140448270039749,Boston Celtics,Brooklyn Nets,V,0,1
876,Atlanta Hawks,Indiana Pacers,0.7116474328747826,Atlanta Hawks,Indiana Pacers,H,1,0
877,New Orleans Pelicans,Houston Rockets,0.7408377619652292,New Orleans Pelicans,Houston Rockets,H,1,0
878,Los Angeles Clippers,Memphis Grizzlies,0.6376289007860994,Memphis Grizzlies,Los Angeles Clippers,H,0,1
879,Dallas Mavericks,Detroit Pistons,0.8586282996127628,Dallas Mavericks,Detroit Pistons,H,1,0
880,Denver Nuggets,New York Knicks,0.5264930103245138,Denver Nuggets,New York Knicks,H,1,0
881,Sacramento Kings,Minnesota Timberwolves,0.7116376084895002,Minnesota Timberwolves,Sacramento Kings,V,0,1
882,Portland Trail Blazers,Orlando Magic,0.8117139713828636,Orlando Magic,Portland Trail Blazers,V,0,1
883,Milwaukee Bucks,Los Angeles Lakers,0.6346980283951622,Milwaukee Bucks,Los Angeles Lakers,V,1,0
884,San Antonio Spurs,Cleveland Cavaliers,0.6247429100562343,Cleveland Cavaliers,San Antonio Spurs,H,0,1
885,Chicago Bulls,Charlotte Hornets,0.5163347383794679,Chicago Bulls,Charlotte Hornets,V,1,0
886,Toronto Raptors,Oklahoma City Thunder,0.6171595480698632,Toronto Raptors,Oklahoma City Thunder,V,1,0
887,Utah Jazz,Golden State Warriors,0.6398211248344539,Utah Jazz,Golden State Warriors,H,1,0
888,Sacramento Kings,Minnesota Timberwolves,0.7116376084895002,Sacramento Kings,Minnesota Timberwolves,H,1,0
889,Los Angeles Lakers,Portland Trail Blazers,0.5489028937048741,Portland Trail Blazers,Los Angeles Lakers,H,0,1
890,Memphis Grizzlies,Detroit Pistons,0.7783308139442862,Memphis Grizzlies,Detroit Pistons,V,1,0
891,Brooklyn Nets,Washington Wizards,0.7102707265454044,Washington Wizards,Brooklyn Nets,H,0,1
892,Miami Heat,New Orleans Pelicans,0.6149819702359931,Miami Heat,New Orleans Pelicans,V,1,0
893,Toronto Raptors,Houston Rockets,0.6633727022988161,Toronto Raptors,Houston Rockets,V,1,0
894,Los Angeles Clippers,Dallas Mavericks,0.5752781001625976,Dallas Mavericks,Los Angeles Clippers,H,0,1
895,Milwaukee Bucks,Phoenix Suns,0.5693313390242231,Phoenix Suns,Milwaukee Bucks,H,0,1
896,New York Knicks,Golden State Warriors,0.5973492973083372,New York Knicks,Golden State Warriors,V,1,0
897,Philadelphia 76ers,Oklahoma City Thunder,0.8848957503374948,Philadelphia 76ers,Oklahoma City Thunder,H,1,0
898,Indiana Pacers,Cleveland Cavaliers,0.6752479552834671,Cleveland Cavaliers,Indiana Pacers,V,0,1
899,Charlotte Hornets,Detroit Pistons,0.6252198267927382,Charlotte Hornets,Detroit Pistons,V,1,0
900,Denver Nuggets,Boston Celtics,0.6338691162611121,Boston Celtics,Denver Nuggets,H,0,1
901,Atlanta Hawks,San Antonio Spurs,0.6961766627109658,San Antonio Spurs,Atlanta Hawks,V,0,1
902,Chicago Bulls,Minnesota Timberwolves,0.7149514356787905,Chicago Bulls,Minnesota Timberwolves,H,1,0
903,Utah Jazz,Orlando Magic,0.856673725115243,Utah Jazz,Orlando Magic,H,1,0
904,New York Knicks,Portland Trail Blazers,0.515173638449939,Portland Trail Blazers,New York Knicks,H,0,1
905,Washington Wizards,Sacramento Kings,0.6008973637995267,Sacramento Kings,Washington Wizards,V,0,1
906,New Orleans Pelicans,San Antonio Spurs,0.5356700962529859,San Antonio Spurs,New Orleans Pelicans,V,0,1
907,Memphis Grizzlies,Charlotte Hornets,0.6832392003601576,Memphis Grizzlies,Charlotte Hornets,V,1,0
908,Denver Nuggets,Toronto Raptors,0.7571294676406142,Denver Nuggets,Toronto Raptors,V,1,0
909,Philadelphia 76ers,Cleveland Cavaliers,0.8421979376984435,Philadelphia 76ers,Cleveland Cavaliers,H,1,0
910,Brooklyn Nets,Miami Heat,0.6384461413379852,Miami Heat,Brooklyn Nets,H,0,1
911,Chicago Bulls,Oklahoma City Thunder,0.7551631735664117,Chicago Bulls,Oklahoma City Thunder,H,1,0
912,Los Angeles Lakers,Golden State Warriors,0.6294733878688802,Golden State Warriors,Los Angeles Lakers,H,0,1
913,Los Angeles Clippers,Dallas Mavericks,0.5752781001625976,Los Angeles Clippers,Dallas Mavericks,V,1,0
914,Phoenix Suns,Orlando Magic,0.8621747409278369,Phoenix Suns,Orlando Magic,H,1,0
915,Atlanta Hawks,Boston Celtics,0.5969477053715543,Boston Celtics,Atlanta Hawks,H,0,1
916,Indiana Pacers,Minnesota Timberwolves,0.7089292161140259,Minnesota Timberwolves,Indiana Pacers,V,0,1
917,Washington Wizards,Detroit Pistons,0.7804279256706841,Washington Wizards,Detroit Pistons,H,1,0
918,New York Knicks,Oklahoma City Thunder,0.8482183690659091,Oklahoma City Thunder,New York Knicks,V,0,1
919,Brooklyn Nets,Sacramento Kings,0.7563774332875768,Brooklyn Nets,Sacramento Kings,H,1,0
920,New Orleans Pelicans,Toronto Raptors,0.5586970911576402,New Orleans Pelicans,Toronto Raptors,H,1,0
921,Milwaukee Bucks,Portland Trail Blazers,0.5935117697167325,Portland Trail Blazers,Milwaukee Bucks,V,0,1
922,Chicago Bulls,San Antonio Spurs,0.53443359762832,Chicago Bulls,San Antonio Spurs,H,1,0
923,Utah Jazz,Houston Rockets,0.8823830076692629,Utah Jazz,Houston Rockets,H,1,0
924,Denver Nuggets,Orlando Magic,0.83589140988996,Denver Nuggets,Orlando Magic,H,1,0
925,Los Angeles Clippers,Golden State Warriors,0.629007117362233,Los Angeles Clippers,Golden State Warriors,H,1,0
926,Philadelphia 76ers,Boston Celtics,0.6100387618514798,Boston Celtics,Philadelphia 76ers,V,0,1
927,Dallas Mavericks,Miami Heat,0.6286975458289963,Dallas Mavericks,Miami Heat,V,1,0
928,Atlanta Hawks,Cleveland Cavaliers,0.8103964336408129,Atlanta Hawks,Cleveland Cavaliers,H,1,0
929,Memphis Grizzlies,New Orleans Pelicans,0.6408709056391606,Memphis Grizzlies,New Orleans Pelicans,V,1,0
930,Charlotte Hornets,Minnesota Timberwolves,0.6017611451922463,Minnesota Timberwolves,Charlotte Hornets,H,0,1
931,Milwaukee Bucks,Indiana Pacers,0.7695180987373241,Milwaukee Bucks,Indiana Pacers,H,1,0
932,Los Angeles Clippers,Phoenix Suns,0.5075678013425241,Phoenix Suns,Los Angeles Clippers,H,0,1
933,Atlanta Hawks,Orlando Magic,0.8389042951050798,Atlanta Hawks,Orlando Magic,V,1,0
934,Brooklyn Nets,New York Knicks,0.624523328128247,Brooklyn Nets,New York Knicks,V,1,0
935,Washington Wizards,Indiana Pacers,0.5195872008051334,Indiana Pacers,Washington Wizards,H,0,1
936,Boston Celtics,Detroit Pistons,0.8229711008260723,Detroit Pistons,Boston Celtics,V,0,1
937,San Antonio Spurs,Oklahoma City Thunder,0.6388697749985646,San Antonio Spurs,Oklahoma City Thunder,V,1,0
938,Toronto Raptors,Minnesota Timberwolves,0.5846734565304755,Toronto Raptors,Minnesota Timberwolves,V,1,0
939,Portland Trail Blazers,Memphis Grizzlies,0.5335336323999899,Portland Trail Blazers,Memphis Grizzlies,V,1,0
940,Chicago Bulls,Sacramento Kings,0.5505168145238335,Chicago Bulls,Sacramento Kings,H,1,0
941,Phoenix Suns,Houston Rockets,0.8870273998944216,Phoenix Suns,Houston Rockets,H,1,0
942,Utah Jazz,Los Angeles Lakers,0.6963815867315482,Los Angeles Lakers,Utah Jazz,H,0,1
943,Denver Nuggets,Golden State Warriors,0.6713672973550483,Denver Nuggets,Golden State Warriors,V,1,0
944,Miami Heat,Charlotte Hornets,0.658778327409606,Miami Heat,Charlotte Hornets,V,1,0
945,Brooklyn Nets,Washington Wizards,0.7070580299012139,Washington Wizards,Brooklyn Nets,V,0,1
946,Dallas Mavericks,New Orleans Pelicans,0.7419603063820104,Dallas Mavericks,New Orleans Pelicans,V,1,0
947,Philadelphia 76ers,Milwaukee Bucks,0.5585696027739411,Philadelphia 76ers,Milwaukee Bucks,V,1,0
948,Los Angeles Clippers,Houston Rockets,0.8774568455047163,Los Angeles Clippers,Houston Rockets,H,1,0
949,Detroit Pistons,Cleveland Cavaliers,0.522368778894317,Detroit Pistons,Cleveland Cavaliers,H,1,0
950,Brooklyn Nets,Boston Celtics,0.6140448270039749,Boston Celtics,Brooklyn Nets,V,0,1
951,Phoenix Suns,Oklahoma City Thunder,0.8993936924416722,Phoenix Suns,Oklahoma City Thunder,V,1,0
952,Memphis Grizzlies,Minnesota Timberwolves,0.7607890828538342,Minnesota Timberwolves,Memphis Grizzlies,H,0,1
953,Atlanta Hawks,Chicago Bulls,0.7042577072017329,Chicago Bulls,Atlanta Hawks,H,0,1
954,Denver Nuggets,Sacramento Kings,0.7388400818985823,Denver Nuggets,Sacramento Kings,V,1,0
955,Portland Trail Blazers,Golden State Warriors,0.5616448286136917,Golden State Warriors,Portland Trail Blazers,V,0,1
956,Washington Wizards,San Antonio Spurs,0.5852587509379688,San Antonio Spurs,Washington Wizards,V,0,1
957,Orlando Magic,Houston Rockets,0.5653526963709629,Orlando Magic,Houston Rockets,H,1,0
958,Indiana Pacers,Oklahoma City Thunder,0.7496930757306706,Oklahoma City Thunder,Indiana Pacers,V,0,1
959,Charlotte Hornets,Toronto Raptors,0.5115789196642186,Charlotte Hornets,Toronto Raptors,H,1,0
960,New York Knicks,Miami Heat,0.5302331174479233,Miami Heat,New York Knicks,V,0,1
961,Philadelphia 76ers,Minnesota Timberwolves,0.8583497390801043,Philadelphia 76ers,Minnesota Timberwolves,V,1,0
962,Dallas Mavericks,Utah Jazz,0.5228134037078154,Utah Jazz,Dallas Mavericks,H,0,1
963,Phoenix Suns,New Orleans Pelicans,0.7046067973062855,New Orleans Pelicans,Phoenix Suns,V,0,1
964,Los Angeles Clippers,Los Angeles Lakers,0.5753162144527602,Los Angeles Clippers,Los Angeles Lakers,V,1,0
965,Boston Celtics,Detroit Pistons,0.7572504065901526,Boston Celtics,Detroit Pistons,V,1,0
966,Atlanta Hawks,Toronto Raptors,0.715471799014342,Atlanta Hawks,Toronto Raptors,H,1,0
967,Miami Heat,San Antonio Spurs,0.6620565007789484,Miami Heat,San Antonio Spurs,H,1,0
968,Washington Wizards,Cleveland Cavaliers,0.6674567538900524,Cleveland Cavaliers,Washington Wizards,H,0,1
969,Memphis Grizzlies,Chicago Bulls,0.642014072802889,Memphis Grizzlies,Chicago Bulls,V,1,0
970,Brooklyn Nets,Milwaukee Bucks,0.527409491568058,Brooklyn Nets,Milwaukee Bucks,V,1,0
971,Denver Nuggets,Sacramento Kings,0.7335348604056713,Denver Nuggets,Sacramento Kings,H,1,0
972,Philadelphia 76ers,New York Knicks,0.6534872093284517,Philadelphia 76ers,New York Knicks,V,1,0
973,Utah Jazz,Phoenix Suns,0.635717500958536,Utah Jazz,Phoenix Suns,V,1,0
974,Boston Celtics,Indiana Pacers,0.6213260459219482,Indiana Pacers,Boston Celtics,H,0,1
975,Los Angeles Clippers,Houston Rockets,0.8759813921057799,Los Angeles Clippers,Houston Rockets,V,1,0
976,Charlotte Hornets,Detroit Pistons,0.7062279275969576,Detroit Pistons,Charlotte Hornets,V,0,1
977,Dallas Mavericks,Golden State Warriors,0.6795673152704916,Dallas Mavericks,Golden State Warriors,V,1,0
978,Denver Nuggets,Portland Trail Blazers,0.5940313759282553,Denver Nuggets,Portland Trail Blazers,V,1,0
979,Los Angeles Lakers,New Orleans Pelicans,0.6447477606541376,New Orleans Pelicans,Los Angeles Lakers,V,0,1
980,Indiana Pacers,Orlando Magic,0.6388203282956327,Orlando Magic,Indiana Pacers,H,0,1
981,Cleveland Cavaliers,Minnesota Timberwolves,0.5675527734078676,Minnesota Timberwolves,Cleveland Cavaliers,V,0,1
982,Miami Heat,Chicago Bulls,0.6578524903804238,Miami Heat,Chicago Bulls,H,1,0
983,Brooklyn Nets,Toronto Raptors,0.761526503216805,Toronto Raptors,Brooklyn Nets,V,0,1
984,Sacramento Kings,Oklahoma City Thunder,0.6237875214558201,Sacramento Kings,Oklahoma City Thunder,V,1,0
985,Milwaukee Bucks,Charlotte Hornets,0.7601465362448857,Milwaukee Bucks,Charlotte Hornets,H,1,0
986,Memphis Grizzlies,San Antonio Spurs,0.6498801045675896,Memphis Grizzlies,San Antonio Spurs,H,1,0
987,Washington Wizards,Detroit Pistons,0.7804279256706841,Washington Wizards,Detroit Pistons,H,1,0
988,Brooklyn Nets,Toronto Raptors,0.7714306573431476,Toronto Raptors,Brooklyn Nets,H,0,1
989,Atlanta Hawks,Boston Celtics,0.5969477053715543,Boston Celtics,Atlanta Hawks,H,0,1
990,Golden State Warriors,Minnesota Timberwolves,0.7247489681261418,Minnesota Timberwolves,Golden State Warriors,H,0,1
991,Los Angeles Clippers,Houston Rockets,0.8759813921057799,Los Angeles Clippers,Houston Rockets,V,1,0
992,Dallas Mavericks,Los Angeles Lakers,0.5791001719448086,Dallas Mavericks,Los Angeles Lakers,V,1,0
993,Indiana Pacers,Orlando Magic,0.6388203282956327,Indiana Pacers,Orlando Magic,V,1,0
994,Charlotte Hornets,Cleveland Cavaliers,0.6195400176553773,Charlotte Hornets,Cleveland Cavaliers,V,1,0
995,Philadelphia 76ers,New York Knicks,0.5521814230644609,Philadelphia 76ers,New York Knicks,H,1,0
996,New Orleans Pelicans,Sacramento Kings,0.5517464250749449,New Orleans Pelicans,Sacramento Kings,H,1,0
997,Milwaukee Bucks,Miami Heat,0.6271768844649154,Milwaukee Bucks,Miami Heat,H,1,0
998,Utah Jazz,Houston Rockets,0.9228321420693764,Utah Jazz,Houston Rockets,V,1,0
999,Denver Nuggets,Oklahoma City Thunder,0.8739356789416282,Oklahoma City Thunder,Denver Nuggets,V,0,1
1000,Phoenix Suns,Portland Trail Blazers,0.5988024817120713,Phoenix Suns,Portland Trail Blazers,H,1,0
1001,Atlanta Hawks,Chicago Bulls,0.6921997712052146,Atlanta Hawks,Chicago Bulls,H,1,0
1002,Toronto Raptors,Detroit Pistons,0.7208041501086269,Detroit Pistons,Toronto Raptors,V,0,1
1003,Brooklyn Nets,Miami Heat,0.612275679999298,Miami Heat,Brooklyn Nets,V,0,1
1004,Memphis Grizzlies,Boston Celtics,0.5272788451947293,Boston Celtics,Memphis Grizzlies,H,0,1
